"id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","city"
7381,"Chalet Chocolat in medieval alpine village",19480,"Paula","Aigle","Ormont-Dessus",46.35476,7.13333,"Entire home/apt",80,3,42,"2020-10-26",0.4,1,315,"vaud"
26809,"Quiet bedroom, private bathroom",94917,"Eric","Lavaux-Oron","Pully",46.52228,6.66425,"Private room",71,2,117,"2017-01-22",0.91,1,0,"vaud"
50123,"Not Available any longer",229512,"Christopher","Nyon","Mont-sur-Rolle",46.4754,6.32883,"Private room",831,4,0,"",NA,1,0,"vaud"
129558,"Vos vacances à Lausanne",638930,"Carol","Lausanne","Lausanne",46.53873,6.62034,"Private room",89,7,0,"",NA,1,365,"vaud"
198351,"Cosy Room",967965,"Isabelle","Riviera-Pays-d'Enhaut","Montreux",46.44715,6.89659,"Private room",50,2,21,"2020-10-09",0.76,2,364,"vaud"
233016,"Your little piece of Paradise!",1219574,"Michael","Aigle","Ormont-Dessus",46.3496,7.16248,"Entire home/apt",135,3,12,"2020-10-21",0.16,1,322,"vaud"
245705,"Gîte des Sauges, CH",1289165,"Isabelle","Jura-Nord vaudois","Sainte-Croix",46.82018,6.52602,"Entire home/apt",35,2,86,"2021-02-26",0.94,1,254,"vaud"
259823,"Spacious, quiet, downtown, near lake & transports",1363446,"David","Riviera-Pays-d'Enhaut","La Tour-de-Peilz",46.45231,6.86073,"Entire home/apt",360,2,14,"2019-08-04",0.31,1,0,"vaud"
268195,"Chalet Balthazar 4 - Central Villars, Great Views",1405645,"David","Aigle","Ollon",46.29621,7.05534,"Entire home/apt",531,7,11,"2020-11-30",0.2,5,264,"vaud"
282024,"3 Bedroom House - Nyon, 25 min Geneva",627833,"Steve","Nyon","Prangins",46.39469,6.25042,"Entire home/apt",120,2,8,"2017-12-26",0.08,1,0,"vaud"
282240,"Wonderful LOFT PRIVAT in citycenter",1471038,"Mike","Lausanne","Lausanne",46.52142,6.63811,"Entire home/apt",179,3,17,"2021-01-03",0.16,1,307,"vaud"
347194,"Castle in the hill. Stunning view 1",1759902,"Anne","Riviera-Pays-d'Enhaut","Chardonne",46.47443,6.80248,"Hotel room",257,1,54,"2020-08-16",0.5,3,336,"vaud"
361490,"Castle in the hill. Stunning view 2",1759902,"Anne","Riviera-Pays-d'Enhaut","Chardonne",46.47473,6.8007,"Entire home/apt",186,2,35,"2021-01-03",0.32,3,327,"vaud"
441365,"Centré 2 pieces superbe appartement",2193547,"Inès","Lausanne","Lausanne",46.5307,6.63133,"Entire home/apt",90,2,24,"2018-09-08",0.27,17,365,"vaud"
465603,"Spacious room - private bathroom",2312887,"Elisabeth","Aigle","Rennaz",46.37578,6.91791,"Private room",39,1,185,"2021-03-02",1.73,1,335,"vaud"
481748,"Duplex! Center of Vevey. Character!",2386200,"Milica","Riviera-Pays-d'Enhaut","Vevey",46.46643,6.84233,"Entire home/apt",206,7,0,"",NA,1,178,"vaud"
484112,"Great lake views and beautiful modern flat",1469498,"Natalia","Lausanne","Lausanne",46.52513,6.61594,"Entire home/apt",80,4,12,"2021-02-20",0.12,1,0,"vaud"
545587,"Business/ Holiday apartment",440526,"Lars","Lavaux-Oron","Bourg-en-Lavaux",46.49185,6.74834,"Entire home/apt",70,30,0,"",NA,1,246,"vaud"
563402,"Heidi Chalet Alps - Unique Experience - Authentic Part",2770598,"Moriya","Riviera-Pays-d'Enhaut","Rossinière",46.4671,7.06954,"Entire home/apt",334,2,145,"2021-02-26",1.38,37,324,"vaud"
580402,"A4C3Coeur de ville, chambre privée",2193547,"Inès","Lausanne","Lausanne",46.5307,6.63133,"Private room",40,1,49,"2020-07-31",0.55,17,25,"vaud"
592411,"Minuit Soleil Room in the Lavaux!",2924373,"Danièle","Lavaux-Oron","Bourg-en-Lavaux",46.49783,6.72497,"Private room",60,15,2,"2014-10-06",0.03,10,0,"vaud"
605354,"Double room in Cully village !",2998131,"Claire","Lavaux-Oron","Bourg-en-Lavaux",46.4876,6.72908,"Private room",80,1,115,"2020-10-07",1.11,2,365,"vaud"
614885,"Romantica Room in the Lavaux !",2924373,"Danièle","Lavaux-Oron","Bourg-en-Lavaux",46.49911,6.72652,"Private room",60,8,3,"2020-02-11",0.03,10,89,"vaud"
614923,"Bambou Room right in the Lavaux !",2924373,"Danièle","Lavaux-Oron","Bourg-en-Lavaux",46.49947,6.72486,"Private room",80,30,1,"2016-05-01",0.02,10,89,"vaud"
630291,"White Double room in Cully Village",2998131,"Claire","Lavaux-Oron","Bourg-en-Lavaux",46.48823,6.73054,"Private room",80,1,136,"2020-10-04",1.42,2,365,"vaud"
672442,"Great Twin Room in modern apartment",3410243,"Véronique Louise","Riviera-Pays-d'Enhaut","Montreux",46.43138,6.91823,"Private room",95,1,7,"2016-07-27",0.09,5,364,"vaud"
672452,"Spacious Suite in modern B&B",3410243,"Véronique Louise","Riviera-Pays-d'Enhaut","Montreux",46.43194,6.91886,"Private room",139,2,1,"2015-03-13",0.01,5,365,"vaud"
676488,"Lovely apartment in Lausanne centre",1496281,"Pedro","Lausanne","Lausanne",46.52429,6.63151,"Entire home/apt",75,30,50,"2020-11-15",0.58,1,39,"vaud"
